615779a9343cef5e9aed0cb9,"Taylor Swift's release date move sparked speculation that Adele might be dropping her new record on November 19, a series of",'30' Billboards Spark More Adele Album Rumours,"Taylor Swift's release date move sparked speculation that Adele might be dropping her new record on November 19, a series of.'30' Billboards Spark More Adele Album Rumours"
6196f9cbb1a56234428fe93c,"Adele has never been more adventurous or emotionally raw than she is on ""30,"" her long-awaited fourth album out Friday.","'30' review: Adele gets real about loneliness, self-love on heart-wrenching new album","Adele has never been more adventurous or emotionally raw than she is on ""30,"" her long-awaited fourth album out Friday..'30' review: Adele gets real about loneliness, self-love on heart-wrenching new album"
6165fa04cccb2169f9595ce4,"Adele is world famous but maintains her privacy and dignity in an over-exposed world - and every other celebrity in the world should take note, says",'Adele gives epic masterclass on how stars can control their fame instead of moaning',"Adele is world famous but maintains her privacy and dignity in an over-exposed world - and every other celebrity in the world should take note, says.'Adele gives epic masterclass on how stars can control their fame instead of moaning'"
6169ee7b20dd6d41120c7cbe,"""There’s a really lovely, delicious kind of emotion to her voice on the album, like a raspiness as well,"" writes BBC2 DJ Jo Whiley ahead of Adele releasing her fourth studio album next month",'Adele is flawless on new single and proves why she's biggest singer on the planet',"""There’s a really lovely, delicious kind of emotion to her voice on the album, like a raspiness as well,"" writes BBC2 DJ Jo Whiley ahead of Adele releasing her fourth studio album next month.'Adele is flawless on new single and proves why she's biggest singer on the planet'"
618df77cdf0fc718ce19ad77,"CBS has offered up a first look at their ""Adele One Night Only"" special.In it, the British singer sits down with Oprah Winfrey to talk about her life and new music.""I invite you to join me fo","'Adele One Night Only' promises hits, stars and 'filthy jokes'","CBS has offered up a first look at their ""Adele One Night Only"" special.In it, the British singer sits down with Oprah Winfrey to talk about her life and new music.""I invite you to join me fo.'Adele One Night Only' promises hits, stars and 'filthy jokes'"
61930553df0fc718ce19e59e,"During ‘Adele One NIght Only,’ the singer performed songs from her new album, ‘30,’ in front of a star-studded crowd.",'Adele One Night Only': All the Stars Who Attended Concert Event,"During ‘Adele One NIght Only,’ the singer performed songs from her new album, ‘30,’ in front of a star-studded crowd..'Adele One Night Only': All the Stars Who Attended Concert Event"
61922437df0fc718ce19d983,"Adele debuted three new tracks off her upcoming album ‘30’ during the CBS primetime special ‘Adele One Night Only.’ The songstress performed ‘Hold On,’ ‘I Drink Wine’ and ‘Love is a Game’ live in front of a star-studded audience.",'Adele One Night Only': Watch Her Sing 3 New Tracks From '30',"Adele debuted three new tracks off her upcoming album ‘30’ during the CBS primetime special ‘Adele One Night Only.’ The songstress performed ‘Hold On,’ ‘I Drink Wine’ and ‘Love is a Game’ live in front of a star-studded audience..'Adele One Night Only': Watch Her Sing 3 New Tracks From '30'"
615c16bdf5a45c3ab0a59ab3,"For the first time in over nine months, Adele has returned to Twitter! On Monday afternoon (October 4), when Instagram and Facebook were dow..|News Track",'Adele Tweets for the first time in nine months after stoking speculation over a fourth album',"For the first time in over nine months, Adele has returned to Twitter! On Monday afternoon (October 4), when Instagram and Facebook were dow..|News Track.'Adele Tweets for the first time in nine months after stoking speculation over a fourth album'"
619029fadf0fc718ce19c75d,"Adele is making her highly anticipated return to music this weekend with her ""One Night Only"" concert in Los Angeles.",'Adele's One Night Only' Concert Is Sunday Night On CBS2,"Adele is making her highly anticipated return to music this weekend with her ""One Night Only"" concert in Los Angeles..'Adele's One Night Only' Concert Is Sunday Night On CBS2"
61eea5a3b3c2ee2c95ab81d1,"In her column for Daily Mail, Street-Porter branded the Hello hit-maker’s tearful apology, posted on Friday, as ‘feeble attempts at an apology.’ She wrote, “I don’t know which was more jaw-dropping; Snivelling Adele’s feeble attempts at an apology to the camera with perfect nails on display,",'Adele's stage-managed apology doesn’t seem believable': blasts Janet Street-Porter,"In her column for Daily Mail, Street-Porter branded the Hello hit-maker’s tearful apology, posted on Friday, as ‘feeble attempts at an apology.’ She wrote, “I don’t know which was more jaw-dropping; Snivelling Adele’s feeble attempts at an apology to the camera with perfect nails on display,.'Adele's stage-managed apology doesn’t seem believable': blasts Janet Street-Porter"
